Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
Barrica 94,4.5,831,Lo Barnechea,"Av. José Alcalde Délano 10533, local 1508, Lo Barnechea, Región Metropolitana, Chile","-33.3567819, -70.5400355","establishment, food, point_of_interest, restaurant"
Pizzería Capri Resto Bar,4.6,696,Lo Barnechea,"El Rodeo 13052, 7690771 Lo Barnechea, Región Metropolitana, Chile","-33.3522356, -70.5167338","establishment, food, point_of_interest, restaurant"
Kami Sushi Lo Espejo,4.6,556,Lo Espejo,"Av. Central Cardenal Raúl Silva Henríquez 6615, 9140063 Lo Espejo, Región Metropolitana, Chile","-33.5055194, -70.6919748","establishment, food, point_of_interest, restaurant"
Mi Vaquita Macul,4.6,952,Macul,"El Líbano 2968, 7810844 Macul, Región Metropolitana, Chile","-33.4823518, -70.588529","bar, establishment, food, point_of_interest, restaurant"
Restaurante Pollozolano,4.5,1680,Macul,"Av. Escuela Agrícola 1814, 7810000 Macul, Región Metropolitana, Chile","-33.4909233, -70.6142839","establishment, food, point_of_interest, restaurant"
Restaurant Payllay,4.6,1633,Macul,"Av. Pedro de Valdivia 5779, 7810107 Macul, Región Metropolitana, Chile","-33.4768059, -70.6063053","establishment, food, point_of_interest, restaurant"
Arabito Deluxe,4.9,1041,Macul,"Exequiel Fernández 2692, 7810468 Macul, Región Metropolitana, Chile","-33.4789078, -70.60122659999999","establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant"
Bar La Cervecería Macul,4.6,1486,Macul,"Av. Macul 5311, 7820589 Macul, Región Metropolitana, Chile","-33.501469, -70.59514250000001","bar, establishment, food, point_of_interest, restaurant"
Amaia restaurante,4.6,1159,Maipú,"Primera Transversal 2100, Mercado municipal de maipu, 9250592 Maipú, Región Metropolitana, Chile","-33.5085469, -70.7539331","bakery, establishment, food, point_of_interest, restaurant, store"
La Terraza del Mirador,4.5,645,Maipú,"Republica 2118, 9251566 Maipú, Región Metropolitana, Chile","-33.5075848, -70.7673272","establishment, food, point_of_interest, restaurant"
FUSIÓN CHILE PERÚ,4.7,465,Maipú,"Manuel Rodríguez 1877, 9250000 Maipú, Región Metropolitana, Chile","-33.5098938, -70.75962779999999","establishment, food, point_of_interest, restaurant"
Chicken Love You ️ Maipú,4.6,838,Maipú,"Avenida Américo Vespucio 399, - Arauco Maipú / Local S536, 9293535 Maipú, Región Metropolitana, Chile","-33.4816202, -70.7518712","establishment, food, point_of_interest, restaurant"
Tao Restaurante,4.5,1552,Maipú,"Av. Los Pajaritos 2601, 9250749 Maipú, Región Metropolitana, Chile","-33.5034797, -70.75712990000001","establishment, food, point_of_interest, restaurant"
Patio Almeyda,4.5,1775,Ñuñoa,"Dublé Almeyda 2900, 7750074 Ñuñoa, Región Metropolitana, Chile","-33.4558115, -70.6012551","bar, establishment, food, point_of_interest, restaurant"
Castillo Hamburgo,4.7,1617,Ñuñoa,"Los Tres Antonios 397, 7750254 Ñuñoa, Región Metropolitana, Chile","-33.4583194, -70.6033061","establishment, food, point_of_interest, restaurant"
Punto País Restaurant,4.5,776,Ñuñoa,"Av. Simón Bolívar 3175, 7770110 Ñuñoa, Región Metropolitana, Chile","-33.4492307, -70.59656919999999","establishment, food, point_of_interest, restaurant"
Golfo di Napoli Trattoria e Pizzeria,4.6,23205,Ñuñoa,"Dublé Almeyda 2435, 7750147 Ñuñoa, Región Metropolitana, Chile","-33.455948, -70.605786","establishment, food, point_of_interest, restaurant"
El Ajiaco,4.5,793,Ñuñoa,"Lic. de Las Peñas 5174, 7790713 Ñuñoa, Región Metropolitana, Chile","-33.4530569, -70.5764405","establishment, food, point_of_interest, restaurant"
Terraza Vergel,4.6,306,Ñuñoa,"Av. Italia 1571, 7770207 Ñuñoa, Región Metropolitana, Chile","-33.4490585, -70.624408","bar, establishment, food, point_of_interest, restaurant"
Restaurant Hualañe,4.5,473,Pedro Aguirre Cerda,"8460778 Santiago, Pedro Aguirre Cerda, Santiago Metropolitan Region, Chile","-33.4788547, -70.67024959999999","establishment, food, point_of_interest, restaurant"
Kami Sushi Pedro Aguirre Cerda,4.8,430,Pedro Aguirre Cerda,"Club Hípico 5423, 8490537 Pedro Aguirre Cerda, Región Metropolitana, Chile","-33.498582, -70.67242449999999","establishment, food, point_of_interest, restaurant"
Bikerchop,4.6,382,Pedro Aguirre Cerda,"Av. Carlos Valdovinos 1989, 8460032 Pedro Aguirre Cerda, Región Metropolitana, Chile","-33.4786374, -70.6622773","bar, establishment, food, night_club, point_of_interest, restaurant"
Delicioso Hulk,4.5,472,Pedro Aguirre Cerda,"Baldomero Lillo 4805, 8480438 Pedro Aguirre Cerda, Región Metropolitana, Chile","-33.4902848, -70.6757375","establishment, food, point_of_interest, restaurant"
Refugio del Sol,4.6,341,Peñalolén,"Antupiren 9401, Local A, Peñalolén, Región Metropolitana, Chile","-33.4835112, -70.5340755","bar, establishment, food, point_of_interest, restaurant"
Restaurante y Bar Bravo's,4.5,374,Peñalolén,"1, 7940803, Antupiren 9401 Local, Santiago, Peñalolén, Región Metropolitana, Chile","-33.4835187, -70.5340681","bar, establishment, food, point_of_interest, restaurant"
Aleman Experto Quilín,4.6,397,Peñalolén,"Mar Tirreno 3349, 1020, 7921452 Peñalolén, Región Metropolitana, Chile","-33.4877753, -70.57827","establishment, food, point_of_interest, restaurant"
Mistura del Perú,4.6,1434,Peñalolén,"Av. los Orientales 5838, Peñalolén, Región Metropolitana, Chile","-33.4626874, -70.5721283","establishment, food, point_of_interest, restaurant"
Le Bistrot de Gaetan,4.7,5559,Providencia,"Sta. Magdalena 80, Local 7, 7510054 Providencia, Región Metropolitana, Chile","-33.4208641, -70.6100723","establishment, food, point_of_interest, restaurant"
TACU TACU Restaurante - Providencia,4.8,1379,Providencia,"Av. Andrés Bello 2233, Local 2217, 7510056 Providencia, Región Metropolitana, Chile","-33.4203473, -70.6104797","establishment, food, point_of_interest, restaurant"
Giratorio,4.5,8341,Providencia,"Av. Nueva Providencia 2250, 7500000 Providencia, Región Metropolitana, Chile","-33.421721, -70.6085958","establishment, food, point_of_interest, restaurant"
El Huerto,4.6,3091,Providencia,"Orrego Luco 54, Providencia, Región Metropolitana, Chile","-33.4228109, -70.6125428","establishment, food, point_of_interest, restaurant"
La Yunta Providencia,4.6,1728,Providencia,"Manuel Montt 748, 7500977 Providencia, Región Metropolitana, Chile","-33.4349707, -70.6163277","establishment, food, point_of_interest, restaurant"
Rishtedar,4.5,2420,Providencia,"Holanda 160, 7510021 Providencia, Región Metropolitana, Chile","-33.4207131, -70.60342","establishment, food, point_of_interest, restaurant"
Baco,4.5,6726,Providencia,"Nueva de Lyon 113, 7510054 Providencia, Región Metropolitana, Chile","-33.4207153, -70.610321","establishment, food, point_of_interest, restaurant"
Carrer Nou,4.6,2416,Providencia,"Miguel Claro 1802, 7501394 Providencia, Región Metropolitana, Chile","-33.4455205, -70.6168304","establishment, food, point_of_interest, restaurant"
Los Canallas,4.5,2259,Providencia,"Holanda 55, 7510006 Providencia, Región Metropolitana, Chile","-33.4198686, -70.6041659","establishment, food, point_of_interest, restaurant"
Gracielo Bar,4.6,3172,Providencia,"Cirujano Guzmán 194, 7500545 Providencia, Región Metropolitana, Chile","-33.426755, -70.6194854","bar, establishment, point_of_interest"
Peumayén Ancestral Food,4.5,1875,Providencia,"Constitución 136, 7520367 Providencia, Región Metropolitana, Chile","-33.4328182, -70.6350162","establishment, food, point_of_interest, restaurant"
"Restaurant ""La Pica De Francesco""",4.5,458,Pudahuel,"San Juan Valdés 9554-9556, 9031004 Pudahuel, Región Metropolitana, Chile","-33.4279367, -70.7684196","establishment, food, point_of_interest, restaurant"
